matka;мати;matki;personal_info;matka;мати;noun;
ojciec;батько;ojcowie;personal_info;ojciec;батько;noun;
rodzice;батьки;;personal_info;rodzic;батько;noun;
córka;дочка;córki;personal_info;córka;дочка;noun;
syn;син;synowie;personal_info;syn;син;noun;
brat;брат;bracia;personal_info;brat;брат;noun;
siostra;сестра;siostry;personal_info;siostra;сестра;noun;
babcia;бабуся;babcie;personal_info;babcia;бабуся;noun;
dziadek;дідусь;dziadkowie;personal_info;dziadek;дідусь;noun;
wnuk;внук;wnuki;personal_info;wnuk;внук;noun;
wnuczka;внучка;wnuczki;personal_info;wnuczka;внучка;noun;
wujek;дядько;wujkowie;personal_info;wujek;дядько;noun;
ciocia;тітка;ciocie;personal_info;ciocia;тітка;noun;
kuzyn;кузен;kuzyni;personal_info;kuzyn;кузен;noun;
kuzynka;кузина;kuzynki;personal_info;kuzynka;кузина;noun;
szwagier;швагер;szwagrowie;personal_info;szwagier;швагер;noun;
szwagierka;швагерка;szwagierki;personal_info;szwagierka;швагерка;noun;
teść;тесть;teściowie;personal_info;teść;тесть;noun;
teściowa;теща;teściowe;personal_info;teściowa;теща;noun;
zięć;зять;zięciowie;personal_info;zięć;зять;noun;
synowa;невістка;synowe;personal_info;synowa;невістка;noun;
mąż;чоловік;mężowie;personal_info;mąż;чоловік;noun;
żona;дружина;żony;personal_info;żona;дружина;noun;
narzeczony;наречений;narzeczeni;personal_info;narzeczony;наречений;noun;
narzeczona;наречена;narzeczone;personal_info;narzeczona;наречена;noun;
chłopak;хлопець;chłopaki;personal_info;chłopak;хлопець;noun;
dziewczyna;дівчина;dziewczyny;personal_info;dziewczyna;дівчина;noun;
przyjaciel;друг;przyjaciele;personal_info;przyjaciel;друг;noun;
przyjaciółka;подруга;przyjaciółki;personal_info;przyjaciółka;подруга;noun;
kolega;колега;koledzy;personal_info;kolega;колега;noun;
koleżanka;колежанка;koleżanki;personal_info;koleżanka;колежанка;noun;
sąsiad;сусід;sąsiedzi;personal_info;sąsiad;сусід;noun;
sąsiadka;сусідка;sąsiadki;personal_info;sąsiadka;сусідка;noun;
rozwód;розлучення;rozwody;personal_info;rozwód;розлучення;noun;
małżeństwo;подружжя;małżeństwa;personal_info;małżeństwo;подружжя;noun;
ślub;весілля;śluby;personal_info;ślub;весілля;noun;
miłość;кохання;;personal_info;miłość;кохання;noun;
przyjaźń;дружба;;personal_info;przyjaźń;дружба;noun;
związek;стосунки;związki;personal_info;związek;стосунки;noun;
kochać;кохати;;personal_info;kochać;кохати;verb (imperfective);
zakochać się;закохатися;;personal_info;zakochać się;закохатися;verb (perfective);
ożenić się;одружитися;;personal_info;ożenić się;одружитися;verb (perfective);
pobrać się;поженитися;;personal_info;pobrać się;поженитися;verb (perfective);
rozwodzić się;розлучатися;;personal_info;rozwodzić się;розлучатися;verb (imperfective);
rozvieść się;розлучитися;;personal_info;rozvieść się;розлучитися;verb (perfective);
spotykać się;зустрічатися;;personal_info;spotykać się;зустрічатися;verb (imperfective);
zaręczyć się;заручитися;;personal_info;zaręczyć się;заручитися;verb (perfective);
zdradzać;зраджувати;;personal_info;zdradzać;зраджувати;verb (imperfective);
zdradzić;зрадити;;personal_info;zdradzić;зрадити;verb (perfective);
zazdrosny;ревнивий;;personal_info;zazdrosny;ревнивий;adj;
wysoki;високий;;personal_info;wysoki;високий;adj;
niski;низький;;personal_info;niski;низький;adj;
szczupły;стрункий;;personal_info;szczupły;стрункий;adj;
gruby;товстий;;personal_info;gruby;товстий;adj;
ładny;гарний;;personal_info;ładny;гарний;adj;
przystojny;вродливий;;personal_info;przystojny;вродливий;adj;
brzydki;некрасивий;;personal_info;brzydki;некрасивий;adj;
młody;молодий;;personal_info;młody;молодий;adj;
stary;старий;;personal_info;stary;старий;adj;
łysy;лисий;;personal_info;łysy;лисий;adj;
brodaty;бородатий;;personal_info;brodaty;бородатий;adj;
wąsaty;вусатий;;personal_info;wąsaty;вусатий;adj;
piegowaty;веснянкуватий;;personal_info;piegowaty;веснянкуватий;adj;
opalony;засмаглий;;personal_info;opalony;засмаглий;adj;
blady;блідий;;personal_info;blady;блідий;adj;
muskularny;мускулистий;;personal_info;muskularny;мускулистий;adj;
silny;сильний;;personal_info;silny;сильний;adj;
słaby;слабкий;;personal_info;słaby;слабкий;adj;
długi;довгий;;personal_info;długi;довгий;adj;
krótki;короткий;;personal_info;krótki;короткий;adj;
kręcony;кучерявий;;personal_info;kręcony;кучерявий;adj;
prosty;прямий;;personal_info;prosty;прямий;adj;
jasny;світлий;;personal_info;jasny;світлий;adj;
ciemny;темний;;personal_info;ciemny;темний;adj;
siwy;сивий;;personal_info;siwy;сивий;adj;
rudy;рудий;;personal_info;rudy;рудий;adj;
falisty;хвилястий;;personal_info;falisty;хвилястий;adj;
łysiejący;лисіючий;;personal_info;łysiejący;лисіючий;adj;
oko;око;oczy;personal_info;oko;око;noun;
ucho;вухо;uszy;personal_info;ucho;вухо;noun;
nos;ніс;nosy;personal_info;nos;ніс;noun;
warga;губа;wargi;personal_info;warga;губа;noun;
brew;брова;brwi;personal_info;brew;брова;noun;
rzęsa;вія;rzęsy;personal_info;rzęsa;вія;noun;
policzek;щока;policzki;personal_info;policzek;щока;noun;
broda;борода;brody;personal_info;broda;борода;noun;
podbródek;підборіддя;podbródki;personal_info;podbródek;підборіддя;noun;
wąs;вус;wąsy;personal_info;wąs;вус;noun;
pieg;веснянка;piegi;personal_info;pieg;веснянка;noun;
blizna;шрам;blizny;personal_info;blizna;шрам;noun;
tatuaż;татуювання;tatuaże;personal_info;tatuaż;татуювання;noun;
soczewka;лінза;soczewki;personal_info;soczewka;лінза;noun;
makijaż;макіяж;;personal_info;makijaż;макіяж;noun;
fryzura;зачіска;fryzury;personal_info;fryzura;зачіска;noun;
zarost;щетина;zarosty;personal_info;zarost;щетина;noun;
kolczyk;сережка;kolczyki;personal_info;kolczyk;сережка;noun;
postawny;статний;;personal_info;postawny;статний;adj;
atrakcyjny;привабливий;;personal_info;atrakcyjny;привабливий;adj;
elegancki;елегантний;;personal_info;elegancki;елегантний;adj;
zmęczony;втомлений;;personal_info;zmęczony;втомлений;adj;
ambitny;амбітний;;personal_info;ambitny;амбітний;adj;
ambicja;амбіція;ambicje;personal_info;ambicja;амбіція;noun;
odpowiedzialny;відповідальний;;personal_info;odpowiedzialny;відповідальний;adj;
odpowiedzialność;відповідальність;;personal_info;odpowiedzialność;відповідальність;noun;
cierpliwy;терплячий;;personal_info;cierpliwy;терплячий;adj;
cierpliwość;терплячість;;personal_info;cierpliwość;терплячість;noun;
niecierpliwy;нетерплячий;;personal_info;niecierpliwy;нетерплячий;adj;
niecierpliwość;нетерплячість;;personal_info;niecierpliwość;нетерплячість;noun;
uczciwy;чесний;;personal_info;uczciwy;чесний;adj;
uczciwość;чесність;;personal_info;uczciwość;чесність;noun;
szczery;щирий;;personal_info;szczery;щирий;adj;
szczerość;щирість;;personal_info;szczerość;щирість;noun;
skromny;скромний;;personal_info;skromny;скромний;adj;
skromność;скромність;;personal_info;skromność;скромність;noun;
uprzejmy;ввічливий;;personal_info;uprzejmy;ввічливий;adj;
uprzejmość;ввічливість;;personal_info;uprzejmość;ввічливість;noun;
miły;милий;;personal_info;miły;милий;adj;
leniwy;лінивий;;personal_info;leniwy;лінивий;adj;
lenistwo;лінощі;;personal_info;lenistwo;лінощі;noun;
pracowity;працьовитий;;personal_info;pracowity;працьовитий;adj;
pracowitość;працьовитість;;personal_info;pracowitość;працьовитість;noun;
mądry;мудрий;;personal_info;mądry;мудрий;adj;
mądrość;мудрість;;personal_info;mądrość;мудрість;noun;
głupi;дурний;;personal_info;głupi;дурний;adj;
głupota;дурість;;personal_info;głupota;дурість;noun;
odważny;сміливий;;personal_info;odważny;сміливий;adj;
odwaga;сміливість;;personal_info;odwaga;сміливість;noun;
tchórzliwy;боягузливий;;personal_info;tchórzliwy;боягузливий;adj;
tchórzostwo;боягузтво;;personal_info;tchórzostwo;боягузтво;noun;
hojny;щедрий;;personal_info;hojny;щедрий;adj;
hojność;щедрість;;personal_info;hojność;щедрість;noun;
skąpy;скупий;;personal_info;skąpy;скупий;adj;
skąpstwo;скупість;;personal_info;skąpstwo;скупість;noun;
wesoły;веселий;;personal_info;wesoły;веселий;adj;
smutny;сумний;;personal_info;smutny;сумний;adj;
spokojny;спокійний;;personal_info;spokojny;спокійний;adj;
nerwowy;нервовий;;personal_info;nerwowy;нервовий;adj;
towarzyski;товариський;;personal_info;towarzyski;товариський;adj;
nietowarzyski;нетовариський;;personal_info;nietowarzyski;нетовариський;adj;
ciekawski;цікавий;;personal_info;ciekawski;цікавий;adj;
uparty;упертий;;personal_info;uparty;упертий;adj;
upór;упертість;;personal_info;upór;упертість;noun;
wyrozumiały;поблажливий;;personal_info;wyrozumiały;поблажливий;adj;
wyrozumiałość;поблажливість;;personal_info;wyrozumiałość;поблажливість;noun;
zazdrość;заздрість;;personal_info;zazdrość;заздрість;noun;
lojalny;лояльний;;personal_info;lojalny;лояльний;adj;
lojalność;лояльність;;personal_info;lojalność;лояльність;noun;
nielojalny;нелояльний;;personal_info;nielojalny;нелояльний;adj;
optymistyczny;оптимістичний;;personal_info;optymistyczny;оптимістичний;adj;
wstawać;вставати;;personal_info;wstawać;вставати;verb (imperfective);
wstać;встати;;personal_info;wstać;встати;verb (perfective);
budzik;будильник;budziki;personal_info;budzik;будильник;noun;
myć się;митися;;personal_info;myć się;митися;verb (imperfective);
umyć się;умитися;;personal_info;umyć się;умитися;verb (perfective);
